"Source:","/proyectoEmbebidos/proyectoEmbebidos/Esquematico_final/Esquematico_Final/amiplanta.kicad_sch"
"Date:","Tue 01 Nov 2022 10:18:04 AM -05"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MP","PACKAGE","PARTREV","PRICE","STANDARD"
"","","Ren1","10K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","Rpw1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","RRTS1","10K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","RRXD0","0R(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","rscl1","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","rsda1","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","Rtemp1","4,7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","RTXD0","0R(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","Rvbus1","22.1K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","Rvbus2","47.5K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","SWBoot1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","","","","","",""
"","","SWEnable1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","","","","","",""
"","","SWin1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm","~","","","","","","","",""
"","","U2","MAX98357AETE+","MAX98357AETE_:MAX98357AETE+","MAX9835_EditadoLib:MAX98357A_ModuloEditado","https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf","Audio Amp Speaker 1-CH Mono Class-D 16-Pin TQFN EP","Maxim Integrated","","MAX98357AETE+","TQFN-16 Maxim Integrated","","None","IPC7351B"
"","","U3","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","","","","","","","",""
"","","U7","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"","","UReg1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MP","PACKAGE","PARTREV","PRICE","STANDARD"
"1","1","Camp1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"2","1","Camp2","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"3","1","Cbl1","0.1uF/50V(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"4","1","Cbl2","4.7uF/6.3V(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"5","2","Cboot1, Cen2","0.1uF/50V(10%)(NC)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"6","1","Cfeed1","22uF/10V(20%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"7","1","Cfeed2","0.1uF/50(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"8","2","CReg1, CReg2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"9","1","Din1","MBR1020VL","Diode:MBR1020VL","Diode_SMD:D_SOD-123F","https://www.onsemi.com/pub/Collateral/MBR1020VL-D.PDF","","","","","","","",""
"10","4","Dinl1, DUl1, DUl2, DUl3","LESD5D5.0CT1G","LESD5D5.0CT1G:LESD5D5.0CT1G","LESD5D5:TVS_LESD5D5.0CT1G","","","LRC","0.7 mm","","","O","","Manufacturer Recommendations"
"11","1","DUSB1","BAT760-7","BAT760-7:BAT760-7","SOD2513X120N","","","DIODES","1.20mm","","","9-2","","IPC-7351B"
"12","1","J1","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","",""
"13","1","J2","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","~","","","","","","","",""
"14","1","J3","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","",""
"15","3","Jhum1, Jmov1, Jtem1","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","~","","","","","","","",""
"16","1","Jluc1","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical","~","","","","","","","",""
"17","1","Joled1","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-396_5273-04A_1x04_P3.96mm_Vertical","~","","","","","","","",""
"18","2","Q1, Q2","SS8050-G","SS8050-G:SS8050-G","SS8050-G:TRANS_SS8050-G","","","Comchip","1.05 mm","","","A","","Manufacturer Recommendations"
"19","1","R_rstbl1","2k(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"20","1","Ractbl1","10k(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"21","4","Rboot1, RDTR1, Ren1, RRTS1","10K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"22","1","RED1","LED","Device:LED","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"23","1","Rpw1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"24","2","RRXD0, RTXD0","0R(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"25","2","rscl1, rsda1","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"26","1","Rtemp1","4,7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"27","1","Rvbus1","22.1K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"28","1","Rvbus2","47.5K(5%)","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"29","2","SWBoot1, SWEnable1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","","","","","",""
"30","1","SWin1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm","~","","","","","","","",""
"31","1","U2","MAX98357AETE+","MAX98357AETE_:MAX98357AETE+","MAX9835_EditadoLib:MAX98357A_ModuloEditado","https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf","Audio Amp Speaker 1-CH Mono Class-D 16-Pin TQFN EP","Maxim Integrated","","MAX98357AETE+","TQFN-16 Maxim Integrated","","None","IPC7351B"
"32","1","U3","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","","","","","","","",""
"33","1","U7","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","","","",""
"34","1","UReg1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","",""
